h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,labels
19490911,53.2,9999.9,1027.2,9999.9,3.2,1.4,5.1,999.9,57.0,46.0,0.00,999.9,
19490913,55.0,9999.9,1029.3,9999.9,4.2,3.2,8.9,999.9,72.0,45.0,0.00,999.9,
19490917,63.8,9999.9,1021.8,9999.9,4.3,10.0,13.0,999.9,73.0,57.0,0.00,999.9,
19490918,62.7,9999.9,1023.4,9999.9,4.3,9.0,13.0,999.9,72.0,55.0,0.00,999.9,
19490921,55.0,9999.9,1022.5,9999.9,3.4,8.0,13.0,999.9,66.0,48.0,0.05,999.9,
19490922,56.2,9999.9,1024.5,9999.9,2.2,3.8,8.9,999.9,59.0,50.0,99.99,999.9,
19490923,48.6,9999.9,1030.8,9999.9,5.5,4.0,5.1,999.9,61.0,39.0,0.00,999.9,
19490924,52.3,9999.9,1029.9,9999.9,5.9,5.1,5.1,999.9,68.0,39.0,0.00,999.9,
19490928,55.3,9999.9,1020.9,9999.9,6.2,9.8,23.9,999.9,66.0,54.0,0.00,999.9,
19490929,54.0,9999.9,1021.8,9999.9,6.8,4.3,5.1,999.9,57.0,50.0,0.00,999.9,
19490930,56.5,9999.9,1013.5,9999.9,4.3,6.0,13.0,999.9,64.0,45.0,0.04,999.9,
19491001,51.6,9999.9,1009.0,9999.9,4.0,8.4,13.0,999.9,57.0,50.0,0.02,999.9,
19491002,50.5,9999.9,9999.9,9999.9,9.3,6.0,8.9,999.9,59.0,46.0,0.02,999.9,
19491004,47.7,9999.9,1007.7,9999.9,8.4,31.9,36.9,999.9,54.0,43.0,99.99,999.9,
19491008,46.3,9999.9,1018.2,9999.9,12.4,999.9,999.9,999.9,52.0,41.0,0.02,999.9,
19491009,42.8,9999.9,9999.9,9999.9,9.3,7.0,8.9,999.9,48.0,37.0,0.02,999.9,
19491010,34.0,9999.9,1035.5,9999.9,5.6,0.0,999.9,999.9,46.0,25.0,0.00,999.9,
19491011,34.5,9999.9,1033.9,9999.9,5.0,5.8,8.9,999.9,48.0,28.0,0.00,999.9,
19491012,37.5,9999.9,1027.5,9999.9,2.5,3.5,5.1,999.9,50.0,30.0,0.00,999.9,
19491013,46.0,9999.9,1025.4,9999.9,1.9,5.1,5.1,999.9,55.0,37.0,0.00,999.9,
19491014,54.5,9999.9,1019.6,9999.9,2.5,7.0,8.9,999.9,57.0,52.0,0.00,999.9,
19491015,51.0,9999.9,1019.8,9999.9,5.9,8.3,18.1,999.9,61.0,45.0,0.00,999.9,
19491016,53.2,9999.9,1019.9,9999.9,4.3,6.0,8.9,999.9,61.0,52.0,0.00,999.9,
19491017,47.8,9999.9,1019.4,9999.9,3.9,5.1,5.1,999.9,61.0,19.0,0.01,999.9,
19491019,53.5,9999.9,1014.4,9999.9,2.3,12.5,23.9,999.9,61.0,46.0,0.00,999.9,
19491021,52.8,9999.9,1015.4,9999.9,3.2,10.6,13.0,999.9,63.0,48.0,0.00,999.9,
19491022,52.0,9999.9,1012.0,9999.9,5.5,8.4,18.1,999.9,57.0,48.0,0.02,999.9,
19491023,47.5,9999.9,1015.7,9999.9,6.2,9.0,13.0,999.9,54.0,41.0,0.12,999.9,
19491025,44.5,9999.9,1005.4,9999.9,7.8,15.0,23.9,999.9,54.0,37.0,0.12,999.9,
19491027,52.7,9999.9,1004.6,9999.9,6.2,10.0,13.0,999.9,57.0,48.0,0.00,999.9,
19491028,41.3,9999.9,1020.8,9999.9,9.3,9.6,13.0,999.9,46.0,34.0,0.04,999.9,
19491029,34.2,9999.9,1028.7,9999.9,8.3,5.0,8.9,999.9,45.0,32.0,0.02,999.9,
19491030,33.8,9999.9,1034.9,9999.9,4.7,3.8,5.1,999.9,39.0,28.0,0.00,999.9,
19491031,25.4,9999.9,1037.9,9999.9,0.6,4.0,5.1,999.9,30.0,21.0,0.00,999.9,
19491102,40.4,9999.9,1028.6,9999.9,3.1,7.4,13.0,999.9,55.0,36.0,0.02,999.9,
19491104,41.5,9999.9,1029.2,9999.9,4.3,15.5,18.1,999.9,50.0,37.0,0.02,999.9,
19491105,31.0,9999.9,1026.7,9999.9,2.5,11.0,13.0,999.9,39.0,30.0,0.00,999.9,
19491108,44.8,9999.9,1006.9,9999.9,3.2,13.3,18.1,999.9,46.0,43.0,0.02,999.9,
19491109,45.5,9999.9,1009.2,9999.9,2.5,12.0,13.0,999.9,48.0,45.0,0.02,999.9,
19491110,44.0,9999.9,1009.4,9999.9,2.1,7.6,8.9,999.9,45.0,43.0,0.05,999.9,
19491111,39.9,9999.9,1006.3,9999.9,2.2,9.5,13.0,999.9,41.0,39.0,0.02,999.9,
19491113,41.8,9999.9,1003.5,9999.9,2.5,10.6,13.0,999.9,43.0,41.0,0.00,999.9,
19491114,36.2,9999.9,1009.0,9999.9,5.4,9.0,13.0,999.9,41.0,18.0,0.16,999.9,
19491115,40.3,9999.9,1024.7,9999.9,1.8,0.8,5.1,999.9,43.0,37.0,0.05,999.9,
19491116,40.7,9999.9,1033.5,9999.9,1.8,3.8,8.9,999.9,43.0,39.0,0.00,999.9,
19491117,41.4,9999.9,1028.6,9999.9,6.2,22.7,23.9,999.9,45.0,37.0,0.00,999.9,
19491119,35.6,9999.9,1021.6,9999.9,4.2,2.4,5.1,999.9,39.0,34.0,0.00,999.9,
19491120,44.2,9999.9,1026.6,9999.9,2.2,8.0,8.9,999.9,46.0,41.0,99.99,999.9,
19491121,43.5,9999.9,1025.9,9999.9,2.2,8.0,8.9,999.9,45.0,43.0,0.02,999.9,
19491123,35.4,9999.9,1017.1,9999.9,4.7,10.6,13.0,999.9,37.0,34.0,0.05,999.9,
19491128,41.3,9999.9,992.2,9999.9,1.2,4.7,8.9,999.9,45.0,39.0,0.16,999.9,
19491130,29.4,9999.9,1009.1,9999.9,6.2,6.8,13.0,999.9,30.0,27.0,0.02,999.9,
19491201,33.2,9999.9,1010.9,9999.9,0.9,6.6,8.9,999.9,36.0,28.0,0.02,999.9,
19491203,37.4,9999.9,996.1,9999.9,2.5,10.6,13.0,999.9,39.0,36.0,0.02,999.9,
19491206,35.4,9999.9,989.9,9999.9,6.2,8.2,13.0,999.9,37.0,34.0,0.16,999.9,
19491207,32.5,9999.9,1000.7,9999.9,6.2,4.3,5.1,999.9,34.0,30.0,0.00,999.9,
19491210,43.2,9999.9,1005.1,9999.9,2.0,9.2,18.1,999.9,46.0,41.0,0.12,999.9,
19491211,38.0,9999.9,1008.7,9999.9,2.5,12.3,18.1,999.9,41.0,36.0,0.16,999.9,
19491212,36.0,9999.9,1015.5,9999.9,2.5,11.0,13.0,999.9,9999.9,34.0,0.04,999.9,
19491214,34.0,9999.9,1019.8,9999.9,999.9,13.3,18.1,999.9,36.0,32.0,0.02,999.9,
19491215,31.3,9999.9,1013.7,9999.9,6.2,16.4,18.1,999.9,34.0,30.0,0.00,999.9,
19491218,36.4,9999.9,990.6,9999.9,4.0,20.4,23.9,999.9,37.0,34.0,0.06,999.9,
19491219,34.2,9999.9,1001.5,9999.9,6.2,14.5,18.1,999.9,37.0,28.0,0.05,999.9,
19491220,38.5,9999.9,1007.0,9999.9,5.3,17.4,23.9,999.9,39.0,36.0,0.04,999.9,
19491222,38.5,9999.9,1021.1,9999.9,6.2,8.0,8.9,999.9,41.0,37.0,0.02,999.9,
19491228,34.0,9999.9,1003.0,9999.9,6.2,15.8,18.1,999.9,39.0,27.0,0.02,999.9,
19491229,20.8,9999.9,1019.9,9999.9,6.2,3.0,5.1,999.9,41.0,10.0,0.00,999.9,
19491230,7.2,9999.9,1022.9,9999.9,5.5,5.1,5.1,999.9,12.0,0.0,99.99,999.9,
19500103,17.2,13.3,999.9,9999.9,9.6,7.0,9.9,999.9,23.0,14.0,0.28,999.9,
19500104,8.2,0.6,1003.9,9999.9,4.0,6.4,8.0,999.9,14.0,0.0,0.06,999.9,
19500105,-0.5,-5.8,1007.2,9999.9,3.4,7.0,9.9,999.9,3.0,-4.0,0.06,999.9,
19500107,-7.5,-11.5,1018.5,9999.9,2.2,8.0,8.0,999.9,-2.0,-9.0,0.00,999.9,
