Year,Month,Day,Hour,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation (high resolution)  [sfc],Total Precipitation (low resolution)  [sfc],Snowfall Amount (high resolution)  [sfc],Snowfall Amount (low resolution)  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc],NextTemp
2019,05,08,00,4.92,68.00,1013.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-999.00,0.00,13.24,225.00,21.18,234.69,31.65,250.74,28.44,
2019,05,08,01,3.96,75.00,1014.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.98,214.51,22.41,226.30,30.12,255.47,25.92,
2019,05,08,02,3.03,82.00,1014.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.01,205.91,22.26,219.09,28.88,259.95,19.44,
2019,05,08,03,2.19,87.00,1014.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.24,200.73,22.17,212.40,28.05,261.14,24.48,
2019,05,08,04,1.36,91.00,1014.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.69,197.10,21.92,209.51,28.11,260.42,25.92,
2019,05,08,05,0.61,93.00,1014.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,197.97,21.49,211.29,28.47,256.84,25.20,
2019,05,08,06,0.63,93.00,1015.20,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,41.92,12.46,13.57,201.80,19.27,212.80,27.32,251.57,21.96,
2019,05,08,07,2.09,88.00,1015.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.92,13.39,216.25,14.57,219.99,27.23,245.81,18.00,
2019,05,08,08,4.21,80.00,1015.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,250.09,13.51,228.24,14.29,229.09,27.22,249.89,18.36,
2019,05,08,09,6.31,74.00,1015.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,386.26,13.28,229.40,12.77,229.57,27.66,251.80,17.64,
